ensmbl_gene_name,Du_PHH_1,Du_PHH_2,Fu_PHH_1,Fu_PHH_2,Kim_PHH_1,Kim_PHH_2,Koui_PHH_1,Koui_PHH_2,Xiang_PHH_1,Xiang_PHH_2,Xie_PHH_1,Xie_PHH_2,Xie_PHH_3,Schneeberger_PHH_1,Schneeberger_PHH_2,Gao_PHH,Boon_PHH_1,Boon_PHH_2,Wang_PHH_1,Wang_PHH_2
ENSG00000122912.15,573,610,479,503,330,487,777,442,173,178,590,404,613,99,58,371,395,347,195,148
ENSG00000226493.1,0,0,1,3,2,2,0,0,0,1,0,1,1,0,0,2,0,0,0,0
ENSG00000207438.1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ENSG00000214881.4,0,1,0,0,1,1,4,4,1,0,3,1,1,0,0,0,1,1,0,0
ENSG00000138336.9,7,26,37,52,2,6,109,162,2,11,23,2,14,3,2,15,4,13,37,5
ENSG00000213025.2,2,1,2,3,1,0,0,8,0,3,0,4,1,1,8,0,0,30,0,0
ENSG00000227583.1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000260400.1,7,5,6,13,1,2,14,13,0,6,4,4,16,0,1,1,0,2,9,2
ENSG00000270494.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000060339.14,427,488,702,747,358,583,1005,414,421,156,397,542,471,87,76,429,402,499,240,114
ENSG00000195401.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283551.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000221184.1,0,2,9,17,0,2,7,1,2,1,3,1,10,1,0,1,2,2,3,10
ENSG00000165730.16,10,6,1,3,3,1,4,0,0,1,0,0,7,0,0,1,2,1,3,0
ENSG00000200218.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285871.1,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
ENSG00000107625.13,264,184,187,222,238,396,319,195,157,95,229,187,241,47,19,168,216,105,64,67
ENSG00000206855.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165732.13,448,585,1013,1025,412,1464,2106,579,1336,283,674,968,755,142,89,920,489,396,531,265
ENSG00000198954.8,171,130,157,147,100,131,373,145,112,71,115,106,166,35,18,79,107,91,96,68
ENSG00000214875.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000229001.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000122862.5,489,289,1136,3438,1,38,0,4,2286,383,330,1882,556,3,17,27,106,165,1691,127
